	reviewName	customerReview	hotelReply	customerOverScore	customerDetailScore	customerReviewDetail	hotelName	hotelDesc	hotelFeatures	hotelStart	hotelAddress	usersRating	scoreScaleUserRating
134132	Quoc A. T. 	Thuê xe nhờ lấy ab nhưng lại đưa chiêc nou chạy ồn ào vô cùng😌		6.5	{'cleanlinessScore': '8.0', 'comfortScore': '8.0', 'serviceScore': '6.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': '', 'travelPurposeText': '', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '1', 'hadReacted': False}}}""}"	Sunrise Hotel La Van Cau	Sunrise Hotel La Van Cau;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng	2.5	Thắng Tam, Bà Rịa - Vũng Tàu	8.6	10
59377	Do T. T. P. 	Khách sạn mới, đẹp. Chất lượng dịch vụ tốt, dọn phòng hàng ngày. Vị trí gần khu dân cư, có nhiều hàng quán ngon, cách biển khoảng 1km. Nói chung là nên ở chỗ này mọi người ạ, tôi đã có kỳ nghỉ tuyệt vời ở đây		9.7	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '2', 'hadReacted': False}}}""}"	Daisy Boutique Hotel and Apartment	Daisy Boutique Hotel and Apartment;Căn hộ	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Bảng chỉ dẫn nổi hoặc chữ nổi|Khăn tắm biển|Các tiện nghi văn phòng|Dịch vụ trả phòng cấp tốc	4.0	Mỹ An, Đà Nẵng	9.1	10
1045210	Siok	Good, OK to stay		8.4	{'ratingText': 'Tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Nice location ', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Mai Charming Hotel and Spa	Mai Charming Hotel and Spa		3.0	Quận Hoàn Kiếm, Hà Nội, Việt Nam	8.0	10
547406	Yaohong	高cp 近皇城一樓如果有租賃摩托車 可以 玩得比較開心		10.0	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Nice', 'translateSource': 'zh-TW', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Minh Tú Homestay	Minh Tú Homestay (Minh Tu Homestay)		0.0	Đại Nội Huế, Huế, Việt Nam	9.2	10
110142	EUNJOO	"Staff are trying to fit your request.
But room is like not so good. 
In bathroom  it smells .
Bed is big and comfort.
Good hotel in internatinal standard but not so goodin Vietnam standard.
There are so manyhotels with reasonable price."		6.0	{'ratingText': 'Hài Lòng', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Staff are good but', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách sạn và Spa Oriana Boutique	Khách sạn và Spa Oriana Boutique (Oriana Boutique Hotel and Spa)		3.5	Quận Hoàn Kiếm, Hà Nội, Việt Nam	9.0	10
1285951	재규	가성비는 최고에요,,,, 대구 인터불고급 정도됍니다	Dear Guest, Thank you for choosing Muong Thanh Grand Quang Nam hotel. Thank you for your reviews. We constantly improve our services to best serve our customers We hope to serve you the next time. Have a good day!	9.2	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': '굿', 'translateSource': 'ko', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Muong Thanh Grand Quang Nam	Muong Thanh Grand Quang Nam		4.0	Tam Kỳ, Tam Kỳ (Quảng Nam), Việt Nam	8.4	10
271705	Ngọc	The beach and pool so nice and clean, room AC work well, staffs friendly and helpfull. Free minibar,  breakfast is normal but I really love breads and cakes.  Room facilities are not very good: water leakage from bathtub all the time (even stop use and clean the floor but water still leak and make the floor wet all night). Room carpet look not clean due to many big dark stain	"Dear Valued guest,
Thank you very much for taking the time to review of our hotel. We trust that you had a satisfied to stay with us. Our property and passionate colleagues are working hard everyday to make improvements wherever is possible. 
Many thanks again for your review and we look forward to welcoming you back very soon when your travels plan ahead to bring you back to Vung Tau city to see our improvements.
Sincerely,
The Management Team
"	7.6	{'ratingText': 'Rất tốt', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Rất tốt', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách sạn The Imperial Vũng Tàu	Khách sạn The Imperial Vũng Tàu (The IMPERIAL Vung Tau Hotel )		5.0	Thắng Tam, Vũng Tàu, Việt Nam	8.6	10
391181	YUNSEON	이불이 많이 무거운게 단점입니다 조식도 맛있었어요	"Thank you very much for your feedback. We are delighted to know you enjoyed the stay at Altara Suites, and we look forward to welcoming you back.
Altara Suites Team"	8.0	{'ratingText': 'Tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': '객실은 투룸으로 넓고 좋았어요', 'translateSource': 'ko', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Altara Suites Đà Nẵng by AHG	Altara Suites Đà Nẵng by AHG (Altara Suites Danang by AHG)		5.0	Phước Mỹ, Đà Nẵng, Việt Nam	8.8	10
962651	sanketh	Was an average experience, had issues with air conditioning and shower. The staff is helpful. Breakfast  doesn’t have many options. One positive thing about the hotel is the river view.	"Xin chào Ms/Mr.Sanketh,

We are incredibly grateful that you took the time out to leave us this review. 
Our hotel values put guest satisfaction as top priority and we are committed to our guests. Your feedback is precious point for head of management know how to improve and make exceptional services for customers.
Once again, thank you for choosing us and we look forward to serving you again.

Sincerely,
The Hotel Management"	8.0	{'ratingText': 'Tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Rất tốt', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Melia Vinpearl Riverfront Đà Nẵng	Melia Vinpearl Riverfront Đà Nẵng (Melia Vinpearl Danang Riverfront)		5.0	Phước Mỹ, Đà Nẵng, Việt Nam	9.0	10
974820	美紀	立地が良かった。		3.2	{'ratingText': 'Điểm nhận xét', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Chấp nhận được', 'translateSource': 'ja', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách Sạn Dyn Opera	Khách Sạn Dyn Opera (Dyn Opera Hotel)		3.5	Quận 1, Hồ Chí Minh, Việt Nam	7.5	10
127056	SIRIPAK	"พนักงานมีน้อยเทียบกับแขกที่เข้าพักที่เยอะมาก
ความสวย ความสะดวกของห้องไม่คุ้มค่าเงิน  แต่ ที่เข้าพักเพราะบรรยากาศและอากาศของบาน่าฮิล"	"Bonjour, Xin chào!
Dear SIRIPAK,
We would like to express our gratitude to you for choosing Mercure Danang French Village Bana Hills as your accommodation and for providing valuable feedback.

We pride ourselves on delivering the highest standard of customer service so it is always nice to discover that this focus is noticed. Please rest assured that your feedback has been shared with our team and it would serve as an encouragement to all of our staff.

Once again, thank you for sharing your experience, and we hope your next visit will be even more pleasant than the previous one.

Best regards!
Sun Nguyen (Mr.)
Guest Experience Manager."	6.8	{'ratingText': 'Hài Lòng', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Hài Lòng', 'translateSource': 'th', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Mercure Danang French Village Bana Hills	Mercure Danang French Village Bana Hills		4.0	Hòa Ninh, Đà Nẵng, Việt Nam	8.7	10
1122629	Nga	Got a pleasure time staying here		9.2	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Nice and chilled', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Nhà dân Sahi Retreat	Nhà dân Sahi Retreat (Sahi Homestay Retreat)		1.0	Sông Hương, Huế, Việt Nam	8.8	10
880009	Jinbong	"문이 고장이 났어요 잘 잠기지도 않아요
"		6.4	{'ratingText': 'Hài Lòng', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'ㅡㅇㅡ고장문', 'translateSource': 'ko', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Meraki 198 Bùi Viện	Meraki 198 Bùi Viện (Meraki 198 Bui Vien)		2.0	Quận 1, Hồ Chí Minh, Việt Nam	7.6	10
705081	Kiki			10.0	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': 'Helpful staff to ask us where we wanted to go to make sure that we have the correct direction.'}	{'reviewTitle': 'Very pleasant stay (Good location and staff)', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách sạn Hồng Hạc	Khách sạn Hồng Hạc (Hồng Hạc hotel)		2.5	Quận 1, Hồ Chí Minh, Việt Nam	7.4	10
325726	Frank	Perfect .super friendly staff and very helpful. The best i tried in asia .breakfast superb.bed hard as always in asia.		8.3	{'ratingText': 'Tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': 'staff breakfast and shower '}	{'reviewTitle': 'nice nice and nice', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách sạn và Spa La Palm Premier Hà Nội	Khách sạn và Spa La Palm Premier Hà Nội (Hanoi La Palm Premier Hotel & Spa)		3.5	Phố Cổ, Hà Nội, Việt Nam	8.8	10
485397	yujin	공항에서 그랩택시를 타고 금방 도착했어요. 직원 분들이 친절하시고 짐도 방까지 올려다 주셨어요. 방으로 들어가자 에어컨까지 켜주시고 가셨네요. 다만 샤워실 배수구가 막혀 물빠짐이 잘 되지않았어요. 수영장이 될 뻔. 그 것 외엔 침구류도 깨끗하고 좋아요.		8.8	{'ratingText': 'Tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': '잠시 1박하기에 좋은 곳', 'translateSource': 'ko', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách Sạn và Bể Bơi Paragon Nội Bài	Khách Sạn và Bể Bơi Paragon Nội Bài (Paragon Noi Bai Hotel and Pool)		3.0	Sân bay Nội Bài, Hà Nội, Việt Nam	8.2	10
566999	Dam	가성비 최고의 호텔이에요. 생각보다 풀장이 밖에 있어서 사용은 못했지만 깨끗하고 조식도 맛있네요. Sophia 가 친절하게 소개해 주셨어요. 		10.0	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': '완전 추천합니다.', 'translateSource': 'ko', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách sạn HADANA Boutique	Khách sạn HADANA Boutique (Hadana Boutique Hotel)		4.0	Phước Mỹ, Đà Nẵng, Việt Nam	8.8	10
579758	Noel	Sạch sẽ, yên tĩnh và vị trí tốt. Phòng đã được cải tạo mới và giá rẻ. Được khuyến khích!		10.0	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Lưu trú tuyệt vời', 'translateSource': 'en', 'originalReviewText': 'Clean, quiet and in a good location. Room was newly renovated and inexpensive. Recommended!', 'originalTitle': 'Great stay', 'translateTarget': 'vi'}	Căn hộ 120 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thành phố biển	Căn hộ 120 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thành phố biển (KHÁCH SẠN ĐÔNG DƯƠNG)		5.0	Thành phố biển, Quy Nhơn (Bình Định), Việt Nam	8.7	10
12322	trung	I appreciate all the hard work the stuff put into making me feel at home here. 	"Thank you for choosing to stay and sharing your experience at Chill Suites Saigon. 
We are glad that you enjoy with our room and hospitality. Hope to welcome you and serve you again next time.
All the best wishes from Chill team❤️"	10.0	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Such amazing people here', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Chill Suites	Chill Suites (Chill suites)		3.5	Quận 1, Hồ Chí Minh, Việt Nam	8.8	10
401338	hernie	the hotel is very comfortable, nice and clean room. all the furniture is new as this hotel is newly open on 2011 i think. freidly and helpful staff.		9.7	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': 'near to shopping places'}	{'reviewTitle': 'lovely hotel at great location', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	City Hotel - 35 Luu Van Lang St.	City Hotel - 35 Luu Van Lang St.		2.0	Quận 1, Hồ Chí Minh, Việt Nam	8.4	10
688636	My	"Tôi là khách hàng quen thuộc của Vin Pearl. Tôi đã quay lại Vin Tây Ninh nhiều lần. Tôi cực kỳ hài lòng với dịch vụ tại đây. 
Vệ sinh sạch sẽ
Thái độ phục vụ chuyên nghiệp, nhiệt tình niềm nở
Đầy đủ các dịch vụ như xông hơi, sục, phòng tập, hồ bơi…
Dịch vụ ăn buffet sáng rất ngon
Dịch vụ ăn uống tại nhà hàng và tại phòng cũng rất tốt
Duy nhất chỉ có 1 vấn đề. Ở hầm B2 của toà nhà, lối đi vào thang máy dẫn lên khách sạn có 1 bậc thang rất nguy hiểm. Bậc này cùng màu với mặt sàn, ko có biển báo hay vạch vàng báo hiệu. Chất liệu mặt sàn tại nơi này cũng khá trơn trượt. Trong chuyến đi tháng 11, mẹ tôi đã bị trượt chân tại đây, nhưng ko nghiêm trọng. 
Trong chuyến đi tháng 12 này, em gái tôi cũng bị trượt chân, dẫn đến bong gân và ko di chuyển được
Hy vọng lần sau quay trở lại Vin, các bạn nên cải tạo bậc này đổ nhẹ nhàng xuống, hoặc vẽ vạch vàng báo hiệu. 
Thân ái,  "	"Xin chào Quý Khách,

Chúng tôi xin cám ơn quý khách đã dành thời gian đánh giá khách sạn trên trang mạng này. Cám ơn sự khen ngợi của anh về các dịch vụ tiện ích và dịch vụ ẩm thực.
Những góp ý rất chân thành và mang tích góp ý xây dựng của quý khách sẽ là cơ sở để chúng tôi cải thiện và ngày càng nâng cao chất lượng dịch vụ, vấn đề của anh đã được chúng tôi khắc phục hẹn gặp quý gia đình đến lần sau để  thấy được sự thay đổi từ góp ý của gia đình.
Rất mong được chào đón và phục vụ quý khách tại Vinpearl Hotel Tây Ninh
Trân Trọng,
Bùi Phan Tú
Tổng Quản Lý
"	9.2	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Very good except ONE item', 'translateSource': 'vi', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Melia Vinpearl Tây Ninh	Melia Vinpearl Tây Ninh (Melia Vinpearl Tay Ninh)		5.0	Tây Ninh, Tây Ninh, Việt Nam	9.2	10
951711	David	Decent, comfortable accommodation. The breakfasts were average but  if it's good value for money and a good location you are after then this is the place.		8.8	{'ratingText': 'Tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'A restful stay', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách sạn La Palm	Khách sạn La Palm (La Palm Hotel)		3.5	Phố Cổ, Hà Nội, Việt Nam	8.4	10
813418	STEFAN	Revisited Roseland Point Hotel, had 3 nights on an exclusive deal on Agoda. Extended 2 more nights on arrival, I was given same price as on the deal, although they could have normally refused. I recommend this hotel for all Ho Chi Min/Sai Gon trips as it is extremely close to center (door to door with Bitexco Tower), very frequent taxis, more restaurants and pubs than you can choose from. And the staff ... the staff are very dedicated professionals, have reasonable levels of English and work for you with a smile. Regards to Vy, Dong, Khoa, Vu and the rest. See you all soon!		10.0	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Fantastic value for money', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách Sạn Roseland Point	Khách Sạn Roseland Point (Roseland Point Hotel)		3.0	Quận 1, Hồ Chí Minh, Việt Nam	8.4	10
1133907	peter	I left my phone on a Grab, and the lady in the front desk patiently helped me to contact the driver and retrieve my phone. I can’t thank her and rest of the hotel staff enough. My stay here was great too.		10.0	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Great staff ', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách sạn Hanoi Golden Holiday	Khách sạn Hanoi Golden Holiday (Hanoi Golden Holiday Hotel)		3.5	Phố Cổ, Hà Nội, Việt Nam	9.1	10
780221	monica	Facility in poor condition and Internet extremely week 		4.8	{'ratingText': 'Điểm nhận xét', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Would not come back ', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách sạn The Sunriver Boutique Huế	Khách sạn The Sunriver Boutique Huế (The Sunriver Boutique Hotel Hue)		3.0	Thành phố Huế, Huế, Việt Nam	7.6	10
61860	Bruce	For the first two days we had the hotel to our selves and it was relaxing bike hire is available across the road from the hotel and it is a 15 minute walk to the old town centre		7.3	{'ratingText': 'Rất tốt', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': 'location, staff, facilities'}	{'reviewTitle': 'Our stay at this hotel was great ', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Hai Yen Hotel	Hai Yen Hotel		2.0	Cẩm Châu, Hội An, Việt Nam	7.9	10
445199	LOOI	Very friendly and helpful reception staff however the restaurant staff service has some room of improvement. Hotel is clean and well decorated.		9.2	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Nice Room', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách Sạn Lantana Riverside Hội An	Khách Sạn Lantana Riverside Hội An (Lantana Riverside Hoi An Hotel)		4.0	Cẩm Châu, Hội An, Việt Nam	9.0	10
718123	Mony	"The stay was acceptable (but a second stay in a different room was not). The breakfast was good (but in a cramped layout), the staff are friendly, and they have filtered water to fill your water bottles.

ALERT: Make sure to turn on hot water switch 10 minutes before starting shower. If you forget, it is warm but goes cold after five minutes.

Towels have to be rented (1USD) but they are very badly worn and a bit unclean. And I don't think anyone cleaned the room on a daily basis.

The location was good (walkable to a good number of restaurants and attractions like the lake), but the internal layout is terrible. The lift does not service the ground floor, nor our room level. In the bathroom you can hang the towel, but nowhere to put toothbrush, clothes, bottled water, soap, etc. And there's nowhere to hang clothes for drying anywhere in the room.

The staff were friendly & willing to help, so this stay was OK. But we stayed later in a different room and had a bad experience."		7.2	{'ratingText': 'Rất tốt', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Hit and miss (first stay better than second)', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Hay Hostel Ha Noi	Hay Hostel Ha Noi (Hay Hostel)		2.0	Phố Cổ, Hà Nội, Việt Nam	8.9	10
1162856	Nadja	I had a nice stay at this place. The onlu problem as I need to work on my notebook as the room was a bit dark. I would reccomend this place anyway.		9.2	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Trên cả tuyệt vời', 'translateSource': 'pt', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	1986 Cafe & Stay	1986 Cafe & Stay		0.0	Trung tâm thành phố/chợ Sắt, Hải Phòng, Việt Nam	9.0	10
492954	tuan	khach san rat tot, sach se, sang trong, nhan vien lich su, huong dan khach tan tinh. phong ngu am cung, tao cam giac than thien. bai dau xe rong rai. thuc an sang ngon mieng. trang thiet bi trong phong con moi va hien dai. la khach san tot, chac chan toi se tro lai neu co dip len da lat		9.3	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': 'Khach san sach se, nhan vien an can niem no'}	{'reviewTitle': 'Khach san sang trong, dep, nhan vien lich su', 'translateSource': 'vi', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Saigon Dalat Hotel	Saigon Dalat Hotel		4.0	Trung tâm Đà Lạt, Đà Lạt, Việt Nam	8.3	10
918737	Garnvini	The room is very clean, Staff is very kind. Value for money. Recommend!!!		10.0	{'ratingText': 'Trên cả tuyệt vời', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': ''}	{'reviewTitle': 'Trên cả tuyệt vời', 'translateSource': 'en', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Khách sạn Carillon Boutique	Khách sạn Carillon Boutique (Carillon Boutique Hotel)		3.5	Phố Cổ, Hà Nội, Việt Nam	9.3	10
291435	mamoru	安価の割に新しくて良いホテルです。		6.0	{'ratingText': 'Hài Lòng', 'helpfulVotes': 0, 'unHelpfulVotes': 0, 'reviewNegatives': '', 'reviewPositives': '安価・新しい・立地が良い'}	{'reviewTitle': '安価の割に新しくて良いホテル', 'translateSource': 'ja', 'originalReviewText': '', 'originalTitle': '', 'translateTarget': 'vi'}	Apus Hotel	Apus Hotel (Apus Hotel )		4.0	Lộc Thọ, Nha Trang, Việt Nam	8.6	10
32041	Kate H	"Chúng tôi ban đầu đặt phòng tại khách sạn này vì ba lý do, nó trông đẹp, giá cả phải chăng và có một vị trí tuyệt vời nhưng được giấu xuống một con hẻm để giảm tiếng ồn giao thông.

Khi chúng tôi đến, chúng tôi ngay lập tức được chào đón với những nụ cười và sự nhiệt tình thực sự, thông tin chi tiết về những việc cần làm và thông tin chung về hà nội. Chúng tôi cũng được nâng cấp miễn phí lên phòng có cửa sổ (chúng tôi đã đặt phòng không có cửa sổ vì giá rẻ hơn).

Phòng đẹp, sạch sẽ hoàn hảo và phòng tắm được trang bị tốt. Chúng tôi ra ngoài ăn tối và trở lại với một lưu ý chúc ngủ ngon và một số sôcôla.

Ngày hôm sau chúng tôi sẽ đi du thuyền trên vịnh halong. Mặc dù chúng tôi tổ chức việc này không thông qua khách sạn, họ vẫn cho chúng tôi lưu trữ những chiếc túi lớn cho đến khi chúng tôi quay lại một ngày sau đó.

Khi chúng tôi trở về từ hành trình, họ đã nâng cấp chúng tôi một lần nữa lên phòng lớn nhất trong khách sạn, miễn phí. Một lần nữa, nội thất rất quyến rũ và đồ sộ, và phòng tắm có bồn tắm spa!

Không thể đề nghị khách sạn này đủ. Địa điểm là tuyệt vời, nhân viên là những người tử tế nhất bạn sẽ gặp ở Việt Nam và chính khách sạn là tất cả mọi thứ bạn cần.

Chắc chắn sẽ trở lại lần sau khi tôi ở lại Hà Nội."		5	{'additionalRatings': '', 'helpfulVotes': ''}	"{'reviewTitle': 'Khách sạn tuyệt vời, khách sạn tốt nhất ở hà nội', 'hotelName': 'Little Hanoi Deluxe Hotel', 'originalLanguage': 'en', 'translationType': 'MACHINE', 'tripInfo': ""{'stayDate': '2019-02-28', 'tripType': 'FRIENDS'}"", 'mgmtResponse': 'None', 'socialStatistics': ""{'followCount': 0, 'isFollowing': False, 'isLiked': False, 'isReposted': False, 'isSaved': False, 'likeCount': 0, 'repostCount': 0, 'tripCount': 0}""}"	Little Hanoi Deluxe Hotel	Khách sạn	Wifi miễn phí|Bao gồm bữa sáng|Dịch vụ phòng|Bao gồm bữa sáng		1 Yen Thai Street, Hang Manh Hoan Kiem, Hanoi, Hà Nội 100000 Việt Nam	5	5
